FISCAL_YEAR,ORG_CODE,GRANT_TYPE,AMOUNT,TOTAL_STUDENTS,NON_CHARTER_STUDENTS,CHARTER_STUDENTS,PER_PUPIL
2023-2024,2610,Federal," 	332,380.79 ", 	576 , 	417 , 	159 , 	577 
2023-2024,2610,State/Local," 	11,701,967.48 ", 	576 , 	417 , 	159 ," 	20,316 "
2023-2024,2620,Federal," 	608,171.04 ", 	532 , 	532 , 	-   ," 	1,143 "
2023-2024,2620,State/Local," 	9,231,007.96 ", 	532 , 	532 , 	-   ," 	17,352 "
2023-2024,2630,Federal," 	294,620.78 ", 	310 , 	310 , 	-   , 	950 
2023-2024,2630,State/Local," 	4,661,366.26 ", 	310 , 	310 , 	-   ," 	15,037 "
2023-2024,2640,Federal," 	1,101,550.45 "," 	1,554 "," 	1,417 ", 	137 , 	709 
2023-2024,2640,State/Local," 	43,508,504.26 "," 	1,554 "," 	1,417 ", 	137 ," 	27,998 "
2023-2024,2650,Federal," 	431,477.63 ", 	202 , 	202 , 	-   ," 	2,136 "
2023-2024,2650,State/Local," 	3,859,599.22 ", 	202 , 	202 , 	-   ," 	19,107 "
2023-2024,2660,Federal," 	2,795,950.64 "," 	1,463 "," 	1,328 ", 	135 ," 	1,911 "
2023-2024,2660,State/Local," 	14,503,404.29 "," 	1,463 "," 	1,328 ", 	135 ," 	9,913 "
2023-2024,2670,Federal," 	290,092.64 ", 	267 , 	267 , 	-   ," 	1,086 "
2023-2024,2670,State/Local," 	4,288,150.25 ", 	267 , 	267 , 	-   ," 	16,060 "
2023-2024,2680,Federal," 	218,632.86 ", 	266 , 	266 , 	-   , 	822 
2023-2024,2680,State/Local," 	4,784,869.27 ", 	266 , 	266 , 	-   ," 	17,988 "
